Nome: Apredizagem de Máquina, Id: COMP390, CH: 72, Requisito: Calculo 3, Horario: 24T56
Nome: Sistemas Digitais, Id: COMP391, CH: 72, Requisito: Calculo 3, Horario: 7M1234
Nome: Sistemas Distribuidos, Id: COMP392, CH: 72, Requisito: Nenhum, Horario: 6T1234
Nome: Interacao Homem-Maquina, Id: COMP395, CH: 72, Requisito: Programacao 3, Horario: 24T34
Nome: Computacao Evolucionaria, Id: COMP397, CH: 72, Requisito: Nenhum, Horario: 24T12
Nome: Sistemas Embarcados, Id: COMP398, CH: 72, Requisito: Nenhum, Horario: 35T56
Nome: Gerencia de Projeto, Id: COMP399, CH: 72, Requisito: Projeto e Desenvolvimento de Sistemas, Horario: 35T56
Nome: Conceitos de Linguagem de Programacao, Id: COMP389, CH: 72, Requisito: Nenhum, Horario: 35T34
Nome: Ciencia de Dados, Id: COMP401, CH: 72, Requisito: Probabilidade e Estatistica, Horario: 24M34
Nome: Microcontroladores e Aplicacoes, Id: COMP402, CH: 72, Requisito: Nenhum, Horario: 24M56
Nome: Seguranca de Sistemas Computacionais, Id: COMP403, CH: 72, Requisito: Redes de Computadores, Horario: 46M34
Nome: Calculo 3, Id: COMP404, CH: 72, Requisito: Calculo Diferencial e Integral, Horario: 36M12
Nome: Redes Neurais e Aprendizado Profundo, Id: COMP393, CH: 72, Requisito: Nenhum, Horario: 35T34
Nome: Processamento Digital de Imagem, Id: COMP396, CH: 72, Requisito: Computacao Grafica, Horario: 35T12
Nome: Visao Computacional, Id: COMP400, CH: 72, Requisito: Nenhum, Horario: NULL
Nome: FPGA, Id: COMP394, CH: 72, Requisito: Nenhum, Horario: NULL
